Title,Writer,Director,Actor,Actor.Rating,Director.Rating,year,length,budget,rating,votes,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,mpaa,Action,Animation,Comedy,Drama,Documentary,Romance
Cruel Intentions,Roger Kumble,Roger Kumble,Sarah Gellar,3,3,1990s,97,11000000,6.5,25634,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,14.5,R,0,0,0,1,0,1
Cry-Baby,John Waters,John Waters,Johnny Depp,1,1,1990s,85,11000000,6,4136,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,14.5,,0,0,1,0,0,1
Cujo,Lauren Currier,Lewis Teague,Dee Wallace,2,3,1980s,93,5000000,5.4,2922,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,4.5,,0,0,0,0,0,0
Curdled,Reb Braddock,Reb Braddock,William Baldwin,3,3,1990s,88,2309723,5.5,959,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,14.5,R,0,0,1,0,0,0
Curly Sue,John Hughes,John Hughes,James Belushi,3,1,1990s,101,30000000,4.7,2097,4.5,4.5,4.5,14.5,24.5,14.5,14.5,4.5,4.5,4.5,,0,0,1,1,0,0
The Curse of Frankenstein,Jimmy Sangster,Terence Fisher,Peter Cushing,3,1,1950s,83,500000,6.8,648,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,14.5,,0,0,0,1,0,0
The Curse of the Jade Scorpion,Woody Allen,Woody Allen,John Tormey,3,1,2000s,103,26000000,6.8,5846,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,4.5,PG-13,0,0,1,1,0,0
Cursed,Kevin Williamson,Wes Craven,de,3,1,2000s,97,35000000,4.7,1277,14.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,14.5,R,0,0,0,0,0,0
Cutthroat Island,Michael Beckner,Renny Harlin,Geena Davis,1,3,1990s,119,92000000,5.1,3942,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,PG-13,1,0,0,0,0,1
Cyborg,Albert Pyun,Albert Pyun,Van,3,3,1980s,86,2000000,3.8,2320,14.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,,1,0,0,0,0,0
Cypher,Brian King,Vincenzo Natali,Jeremy Northam,3,3,2000s,95,7500000,7.2,3160,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,R,1,0,0,0,0,0
D-Tox,Ron Brinkerhoff,Jim Gillespie,Sylvester Stallone,1,3,2000s,92,55000000,4.7,2742,4.5,4.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,R,0,0,0,1,0,0
Daddy Day Care,Geoff Rodkey,Steve Carr,Eddie Murphy,1,3,2000s,92,60000000,5.7,3803,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,4.5,4.5,PG,0,0,1,0,0,0
Dagon,H.P. Lovecraft,Stuart Gordon,Ezra Godden,3,3,2000s,97,4800000,6,1549,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,R,0,0,0,0,0,0
Dances with Wolves,Michael Blake,Kevin Costner,Kevin Costner,1,1,1990s,236,19000000,7.8,28561,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,24.5,,0,0,0,1,0,0
Dangerous Liaisons,Christopher Hampton,Stephen Frears,Glenn Close,1,1,1980s,119,14000000,7.6,12559,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,,0,0,0,1,0,1
The Dangerous Lives of Altar Boys,Chris Fuhrman,Peter Care,Emile Hirsch,3,3,2000s,105,12000000,7.2,3274,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,R,0,0,0,1,0,0
Dante's Peak,Leslie Bohem,Roger Donaldson,Pierce Brosnan,1,3,1990s,104,104000000,5.6,9203,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,4.5,PG-13,1,0,0,1,0,0
Daredevil,Mark Johnson,Mark Johnson,Ben Affleck,1,3,2000s,133,75000000,5.7,20642,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,R,1,0,0,0,0,0
Dark Blue,David Ayer,Ron Shelton,Kurt Russell,1,3,2000s,118,15000000,6.6,3882,4.5,4.5,4.5,4.5,14.5,24.5,34.5,14.5,4.5,4.5,R,1,0,0,1,0,0
Dark City,Lem Dobbs,Alex Proyas,Rufus Sewell,3,2,1990s,100,27000000,7.6,23508,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,,0,0,0,0,0,0
The Dark Crystal,Jim Henson,Jim Henson,Jim Henson,3,2,1980s,93,15000000,6.9,6531,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,,0,0,0,0,0,0
The Dark Half,Stephen King,George Romero,Timothy Hutton,3,3,1990s,122,15000000,5.5,1757,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,4.5,4.5,,0,0,0,0,0,0
Dark Star,John Carpenter,John Carpenter,Brian Narelle,3,1,1970s,83,60000,6.6,3527,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,24.5,,0,0,1,0,0,0
Darkman,Daniel Goldin,Sam Raimi,Liam Neeson,1,1,1990s,96,16000000,6.1,6130,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,,1,0,0,0,0,0
Darkness Falls,John Fasano,Jonathan Liebesman,Chaney Kley,3,3,2000s,86,11000000,4.5,4928,14.5,4.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,PG-13,0,0,0,0,0,0
Dawn of the Dead,George Romero,George Romero,David Emge,3,3,1970s,139,1500000,7.7,12621,4.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,34.5,,1,0,0,1,0,0
Dawn of the Dead,James Gunn,Zack Snyder,Sarah Polley,2,2,2000s,109,28000000,7.4,16283,4.5,4.5,4.5,4.5,4.5,4.5,24.5,24.5,14.5,14.5,R,1,0,0,1,0,0
The Day After Tomorrow,Roland Emmerich,Roland Emmerich,Dennis Quaid,1,2,2000s,124,125000000,6.3,23749,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,PG-13,1,0,0,1,0,0
Day of the Dead,George Romero,George Romero,Lori Cardille,3,3,1980s,97,3500000,6.5,5053,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,14.5,,0,0,0,1,0,0
The Day the Earth Stood Still,Harry Bates,Robert Wise,Michael Rennie,3,1,1950s,85,960000,8.1,10148,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,,0,0,0,1,0,0
Dayereh,Jafar Panahi,Jafar Panahi,Nargess Mamizadeh,3,3,2000s,90,10000,7.1,755,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,,0,0,0,1,0,0
Daylight,Leslie Bohem,Rob Cohen,Sylvester Stallone,1,3,1990s,110,80000000,5.4,6979,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,4.5,PG-13,1,0,0,1,0,0
Days of Thunder,Tom Cruise,Tony Scott,Tom Cruise,1,1,1990s,107,60000000,5.4,9660,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,4.5,,1,0,0,1,0,1
Dead & Buried,Jeff Millar,Gary Sherman,James Farentino,3,3,1980s,94,3000000,6.1,614,4.5,4.5,4.5,4.5,4.5,24.5,24.5,14.5,4.5,4.5,,0,0,0,0,0,0
Dead End,Lillian Hellman,William Wyler,Sylvia Sidney,3,1,1930s,93,900000,7.5,750,4.5,4.5,4.5,4.5,4.5,4.5,24.5,34.5,14.5,14.5,,0,0,0,1,0,0
Dead Man,Jim Jarmusch,Jim Jarmusch,Johnny Depp,1,1,1990s,120,9000000,7.6,10097,4.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,24.5,34.5,,0,0,0,0,0,0
Dead Man Walking,Helen Prejean,Tim Robbins,Susan Sarandon,1,3,1990s,122,11000000,7.6,16177,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,R,0,0,0,1,0,0
Dead Man on Campus,Anthony Abrams,Alan Cohn,Everett,3,3,1990s,96,14000000,5.4,2829,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,R,0,0,1,0,0,0
Dead Man's Curve,Dan Rosen,Dan Rosen,Matthew Lillard,3,3,1990s,90,1000000,5.7,1241,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,4.5,4.5,R,0,0,1,1,0,0
Dead Poets Society,Tom Schulman,Peter Weir,Robin Williams,1,1,1980s,128,16400000,7.7,43294,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,24.5,,0,0,0,1,0,0
Dead Presidents,Michael Brown,Albert Hughes,Larenz Tate,2,3,1990s,119,15000000,6.3,2641,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,R,1,0,0,1,0,0
The Dead Zone,Jeffrey Boam,David Cronenberg,Christopher Walken,1,1,1980s,103,10000000,7.2,6338,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,,0,0,0,1,0,0
Death Becomes Her,Martin Donovan,Robert Zemeckis,Meryl Streep,1,1,1990s,99,55000000,5.6,9887,4.5,4.5,4.5,14.5,14.5,24.5,14.5,14.5,4.5,4.5,,0,0,1,0,0,0
Death Race 2000,Charles Griffith,Paul Bartel,David Carradine,1,3,1970s,79,300000,5.8,2909,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,14.5,,1,0,0,0,0,0
Death to Smoochy,Adam Resnick,Danny DeVito,Robin Williams,1,3,2000s,109,55000000,6.3,8003,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,14.5,R,0,0,1,0,0,0
Deconstructing Harry,Woody Allen,Woody Allen,Judy Davis,2,1,1990s,96,20000000,7.1,7342,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,R,0,0,1,0,0,0
Deep Blue Sea,Duncan Kennedy,Renny Harlin,Thomas Jane,2,3,1990s,105,78000000,5.5,17666,4.5,4.5,4.5,14.5,14.5,24.5,14.5,14.5,4.5,4.5,R,1,0,0,0,0,0
The Deep End of the Ocean,Jacquelyn Mitchard,Ulu Grosbard,Michelle Pfeiffer,1,3,1990s,106,40000000,5.9,2890,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,PG-13,0,0,0,1,0,0
The Deep End,Elisabeth Holding,Scott McGehee,Tilda Swinton,1,3,2000s,101,3000000,6.8,3524,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,R,0,0,0,1,0,0
Deep Impact,Bruce Rubin,Mimi Leder,Robert Duvall,1,2,1990s,120,75000000,5.9,22684,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,PG-13,0,0,0,1,0,0
Deep Rising,Stephen Sommers,Stephen Sommers,Treat Williams,3,3,1990s,97,45000000,5.4,4626,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,R,1,0,0,0,0,0
Deep Throat,Gerard Damiano,Gerard Damiano,Harry Reems,3,3,1970s,67,22000,5.1,1097,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,24.5,,0,0,0,0,0,0
The Deep,Peter Benchley,Peter Yates,Jacqueline Bisset,3,3,1970s,123,9000000,5.8,1565,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,4.5,4.5,,0,0,0,0,0,0
The Deer Hunter,Michael Cimino,Michael Cimino,De,3,3,1970s,183,15000000,8.1,28210,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,,0,0,0,1,0,0
Deliverance,John Boorman,John Boorman,Jon Voight,1,1,1970s,109,2000000,7.8,14417,4.5,4.5,4.5,4.5,4.5,4.5,14.5,34.5,14.5,14.5,,0,0,0,1,0,0
Dellamorte Dellamore,Gianni Romoli,Michele Soavi,Rupert Everett,2,3,1990s,105,4000000,7.3,2313,4.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,34.5,R,0,0,1,0,0,1
Dementia 13,Francis Coppola,Francis Coppola,William Campbell,3,3,1960s,75,30000,5.4,641,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,4.5,,0,0,0,0,0,0
Demon Knight, , ,,3,3,1990s,92,12000000,6,2215,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,14.5,,0,0,0,0,0,0
Demoni, , ,,3,3,1980s,88,1800000,5.7,1188,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,14.5,,0,0,0,0,0,0
Derailed,Jace Anderson,Bob Misiorowski,Van,3,3,2000s,89,18000000,3.4,1075,24.5,14.5,14.5,4.5,4.5,4.5,4.5,4.5,4.5,24.5,R,1,0,0,0,0,0
Dersu Uzala,Vladimir Arsenev,Akira Kurosawa,Yuriy Solomin,3,1,1970s,141,4000000,8.1,2565,4.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,24.5,34.5,,0,0,0,1,0,0
Desperado,Robert Rodriguez,Robert Rodriguez,Antonio Banderas,1,1,1990s,106,7000000,6.8,17929,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,R,1,0,0,0,0,0
The Desperate Hours,Jay Dratler,William Wyler,Humphrey Bogart,1,1,1950s,112,2388000,7.4,1082,4.5,4.5,4.5,4.5,4.5,14.5,24.5,34.5,14.5,4.5,,0,0,0,1,0,0
Desperately Seeking Susan,Leora Barish,Susan Seidelman,Rosanna Arquette,2,3,1980s,104,4500000,5.6,4853,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,4.5,4.5,,0,0,1,1,0,1
Deterrence,Rod Lurie,Rod Lurie,Kevin Pollak,2,3,1990s,101,800000,6.6,796,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,4.5,,0,0,0,1,0,0
Detour,Martin Goldsmith,Edgar Ulmer,Tom Neal,3,3,1940s,67,30000,7.3,1114,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,,0,0,0,1,0,0
Detroit Rock City, , ,,3,3,1990s,95,15000000,6,4607,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,14.5,R,0,0,1,0,0,0
Deuce Bigalow: Male Gigolo,Harris Goldberg,Mike Mitchell,Rob Schneider,3,3,1990s,88,18000000,5.6,9897,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,R,0,0,1,0,0,0
Deuces Wild,Christopher Gambale,Scott Kalvert,Stephen Dorff,3,3,2000s,100,10000000,5.3,1511,4.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,4.5,4.5,R,1,0,0,1,0,0
The Devil's Advocate,Tony Gilroy,Taylor Hackford,Keanu Reeves,1,3,1990s,144,57000000,7,26904,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,R,0,0,0,1,0,0
The Devil's Own,David Cohen,Alan Pakula,Harrison Ford,1,3,1990s,111,80000000,5.7,8485,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,R,1,0,0,1,0,0
Diabolik,Adriano Baracco,Mario Bava,John Law,3,2,1960s,99,400000,4.7,637,14.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,4.5,24.5,,1,0,0,0,0,0
Dial M for Murder,Frederick Knott,Alfred Hitchcock,Ray Milland,1,1,1950s,105,1400000,7.8,7989,4.5,4.5,4.5,4.5,4.5,4.5,24.5,34.5,24.5,14.5,,0,0,0,0,0,0
Diamonds Are Forever,Ian Fleming,Guy Hamilton,Sean Connery,1,3,1970s,120,7200000,6.6,8738,4.5,4.5,4.5,4.5,14.5,24.5,34.5,14.5,4.5,4.5,,1,0,0,0,0,0
Diary of a Mad Black Woman,Tyler Perry,Darren Grant,Kimberly Elise,3,3,2000s,116,5500000,3.9,837,24.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,34.5,PG-13,0,0,1,1,0,0
Dick,Andrew Fleming,Andrew Fleming,Kirsten Dunst,1,3,1990s,94,13000000,6.3,5004,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,PG-13,0,0,1,0,0,0
Dick Tracy,Jim Cash,Warren Beatty,Warren Beatty,1,3,1990s,105,47000000,5.7,9939,4.5,4.5,4.5,14.5,14.5,24.5,14.5,14.5,4.5,4.5,,1,0,1,0,0,0
Dickie Roberts: Former Child Star,David Spade,Sam Weisman,David Spade,3,3,2000s,98,17000000,5.5,2076,4.5,4.5,4.5,4.5,14.5,14.5,24.5,4.5,4.5,4.5,PG-13,0,0,1,0,0,0
Die Another Day,Ian Fleming,Lee Tamahori,Pierce Brosnan,1,2,2000s,133,142000000,6.4,22136,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,PG-13,1,0,0,0,0,0
Die Hard, de,John McTiernan,Bruce Willis,1,1,1980s,131,28000000,8,58870,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,,1,0,0,0,0,0
Die Hard 2, de,Renny Harlin,Bruce Willis,1,3,1990s,124,70000000,6.7,22987,4.5,4.5,4.5,4.5,4.5,14.5,34.5,24.5,4.5,4.5,,1,0,0,0,0,0
Die Hard: With a Vengeance,Jonathan Hensleigh,John McTiernan,Bruce Willis,1,1,1990s,131,90000000,7,25258,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,R,1,0,0,0,0,0
Die xue jie tou, , ,,3,3,1990s,126,3500000,7.6,1805,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,,1,0,0,1,0,0
Diner,Barry Levinson,Barry Levinson,Steve Guttenberg,3,1,1980s,110,5000000,7.2,3250,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,,0,0,1,1,0,0
Dinner at Eight,Edna Ferber,George Cukor,Marie Dressler,3,1,1930s,113,435000,7.6,1031,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,24.5,,0,0,1,1,0,1
Dinosaur,Thom Enriquez,Eric Leighton,D.B. Sweeney,3,3,2000s,82,127500000,6.3,5839,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,PG,0,1,0,0,0,0
Dirty Dancing,Eleanor Bergstein,Emile Ardolino,Jennifer Grey,3,3,1980s,100,6000000,5.9,14407,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,14.5,,0,0,0,1,0,1
Dirty Pretty Things,Steven Knight,Stephen Frears,Chiwetel Ejiofor,1,1,2000s,97,10000000,7.6,6274,4.5,4.5,4.5,4.5,4.5,4.5,24.5,34.5,14.5,14.5,R,0,0,0,1,0,0
Dirty Work,Norm MacDonald,Bob Saget,Norm MacDonald,3,3,1990s,82,13000000,5.9,4252,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,14.5,PG-13,0,0,1,0,0,0
Disturbing Behavior,Scott Rosenberg,David Nutter,James Marsden,3,3,1990s,84,15000000,5.1,4620,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,4.5,R,0,0,0,0,0,0
Divine Secrets of the Ya-Ya Sisterhood,Mark Andrus,Callie Khouri,Sandra Bullock,1,3,2000s,116,27000000,5.5,4288,4.5,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,PG-13,0,0,1,1,0,0
Do the Right Thing,Spike Lee,Spike Lee,Danny Aiello,3,1,1980s,120,6500000,7.7,9324,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,,0,0,1,1,0,0
Doctor Dolittle,Leslie Bricusse,Richard Fleischer,Rex Harrison,1,3,1960s,145,18000000,5.8,1069,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,4.5,4.5,,0,0,0,0,0,0
Doctor Dolittle,Larry Levin,Betty Thomas,Eddie Murphy,1,3,1990s,85,71500000,5.4,8287,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,4.5,PG-13,0,0,1,0,0,0
Doctor Zhivago,Robert Bolt,David Lean,Omar Sharif,1,1,1960s,200,11000000,7.9,10283,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,PG-13,0,0,0,1,0,1
Dodgeball: A True Underdog Story,Rawson Thurber,Rawson Thurber,Vince Vaughn,3,3,2000s,92,20000000,6.6,14584,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,14.5,PG-13,0,0,1,0,0,0
Dogma,Kevin Smith,Kevin Smith,Bud Cort,3,2,1990s,130,10000000,7.3,43391,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,24.5,R,0,0,1,0,0,0
Domestic Disturbance,Lewis Colick,Harold Becker,John Travolta,1,3,2000s,91,53000000,5.4,4445,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,4.5,PG-13,0,0,0,1,0,0
Don Juan DeMarco, , ,,3,3,1990s,97,25000000,6.5,6857,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,14.5,,0,0,1,1,0,1
Don't Say a Word,Patrick Kelly,Gary Fleder,Michael Douglas,1,3,2000s,113,50000000,6.2,10098,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,R,0,0,0,1,0,0
Donnie Brasco,Paul Attanasio,Mike Newell,Al Pacino,1,2,1990s,127,35000000,7.6,20029,4.5,4.5,4.5,4.5,4.5,4.5,24.5,34.5,14.5,14.5,R,0,0,0,1,0,0
Donnie Darko,Richard Kelly,Richard Kelly,Jake Gyllenhaal,1,3,2000s,133,4500000,8.3,51961,4.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,44.5,R,0,0,0,1,0,0
Donovan's Reef,Edmund Beloin,John Ford,John Wayne,1,1,1960s,109,2686585,6.5,1062,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,14.5,14.5,,1,0,1,0,0,1
The Doors,Randall Jahnson,Oliver Stone,Val Kilmer,1,1,1990s,140,38000000,6.7,10363,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,,0,0,0,1,0,0
Double Impact,Peter Krikes,Sheldon Lettich,Van,3,3,1990s,109,16000000,4.5,2749,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,4.5,4.5,,1,0,0,0,0,0
Double Indemnity,James Cain,Billy Wilder,Fred MacMurray,2,1,1940s,110,927262,8.5,11592,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,34.5,,0,0,0,1,0,0
Double Jeopardy,Douglas Cook,Bruce Beresford,Tommy Jones,3,2,1990s,105,40000000,5.9,13587,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,R,0,0,0,1,0,0
Double Take,Guy Elmes,George Gallo,Orlando Jones,3,3,2000s,91,24000000,4.8,1503,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,4.5,PG-13,1,0,1,0,0,0
Double Whammy,Tom DiCillo,Tom DiCillo,Denis Leary,3,3,2000s,100,4000000,5.6,886,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,4.5,R,0,0,1,1,0,0
Down,Dick Maas,Dick Maas,James Marshall,3,3,2000s,110,15000000,4.5,637,14.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,4.5,,1,0,0,0,0,0
Down by Law,Jim Jarmusch,Jim Jarmusch,Tom Waits,3,1,1980s,107,1100000,7.6,4449,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,24.5,,0,0,1,1,0,0
Down to Earth,Warren Beatty,Chris Weitz,Chris Rock,2,3,2000s,87,30000000,5.1,3720,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,4.5,PG-13,0,0,1,0,0,1
Down to You,Kris Isacsson,Kris Isacsson,Prinze,3,3,2000s,91,9000000,4.7,3232,14.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,PG-13,0,0,1,1,0,1
Dr T and the Women, , ,,3,3,2000s,122,12000000,4.8,4776,14.5,4.5,14.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,R,0,0,1,1,0,1
Dr. Dolittle 2,Larry Levin,Steve Carr,Eddie Murphy,1,3,2000s,87,72000000,5.1,4920,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,4.5,PG,0,0,1,0,0,0
Dr. Jekyll and Mr. Hyde,Percy Heath,Rouben Mamoulian,Fredric March,1,3,1930s,96,1140000,7.6,1018,4.5,4.5,4.5,4.5,4.5,4.5,24.5,34.5,14.5,14.5,,0,0,0,1,0,0
Dr. No,Ian Fleming,Terence Young,Sean Connery,1,3,1960s,110,1100000,7.2,11864,4.5,4.5,4.5,4.5,4.5,14.5,34.5,24.5,4.5,4.5,,1,0,0,0,0,0
Dr. Phibes Rises Again,Robert Blees,Robert Fuest,Vincent Price,1,3,1970s,89,75000,6.3,663,4.5,4.5,4.5,4.5,4.5,24.5,24.5,14.5,4.5,14.5,,0,0,0,0,0,1
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Peter George,Stanley Kubrick,Peter Sellers,1,3,1960s,93,1800000,8.7,63471,4.5,4.5,4.5,4.5,4.5,4.5,4.5,14.5,24.5,44.5,PG,0,0,1,0,0,0
Dracula,James Hart,Francis Coppola,Gary Oldman,1,3,1990s,128,40000000,7.1,19972,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,R,0,0,0,1,0,1
Dracula 2000,Patrick Lussier,Patrick Lussier,Gerard Butler,1,3,2000s,99,28000000,4.9,5364,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,R,0,0,0,0,0,0
Dragon: The Bruce Lee Story,Linda Cadwell,Rob Cohen,Jason Lee,3,3,1990s,119,14000000,6.7,3244,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,4.5,14.5,,1,0,0,1,0,0
Dragonfly,Brandon Camp,Tom Shadyac,Kevin Costner,1,3,2000s,104,60000000,5.8,5431,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,4.5,PG-13,0,0,0,1,0,0
Dragonslayer,Hal Barwood,Matthew Robbins,Peter MacNicol,3,3,1980s,109,18000000,6.4,1965,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,,1,0,0,0,0,0
Dream with the Fishes,Jeffrey Brown,Finn Taylor,David Arquette,3,3,1990s,97,1000000,6.5,647,4.5,4.5,4.5,4.5,4.5,14.5,14.5,24.5,14.5,14.5,,0,0,1,1,0,0
Dreamcatcher,William Goldman,Lawrence Kasdan,Morgan Freeman,1,1,2000s,134,68000000,5.2,10403,4.5,4.5,4.5,14.5,14.5,14.5,14.5,4.5,4.5,4.5,R,0,0,0,0,0,0
Dressed to Kill, De, De,Michael Caine,1,3,1980s,104,6500000,6.9,3481,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,,0,0,0,0,0,0
Drive,Scott Phillips,Steve Wang,Mark Dacascos,3,3,1990s,117,3500000,6.4,1086,4.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,24.5,R,1,0,1,0,0,0
Drive Me Crazy,Todd Strasser,John Schultz,Melissa Hart,3,3,1990s,91,8000000,5.1,2934,4.5,4.5,4.5,4.5,14.5,14.5,14.5,4.5,4.5,4.5,PG-13,0,0,1,1,0,1
